instruction,input,output
,What are the key principles of First National Bank's Code of Ethics?,"The key principles of First National Bank's Code of Ethics include: 1) Comply with all applicable laws, rules, and regulations, 2) Act with integrity and honesty, 3) Avoid conflicts of interest, 4) Maintain confidentiality, 5) Report suspected violations, 6) Treat all individuals with respect and dignity, 7) Conduct business positively reflecting on the Bank, 8) Protect Bank assets, and 9) Promote ethical decision-making."
,Who does the Code of Ethics apply to?,"The Code of Ethics applies to all employees, officers, and directors of First National Bank."
,What happens if there are violations of the Code of Ethics?,"Violations of the Code of Ethics may result in disciplinary action, up to and including termination of employment."
,What constitutes professional conduct at First National Bank?,"Professional conduct at First National Bank includes treating others with respect and courtesy, communicating effectively and professionally, maintaining a positive attitude, working cooperatively with others, demonstrating reliability, taking responsibility for actions, displaying willingness to learn, resolving conflicts constructively, refraining from gossip or disparaging comments, and using appropriate language."
,What is the dress code expectation at First National Bank?,"First National Bank expects all employees to present a professional, business-like appearance while at work. Appropriate dress and grooming reflect the Bank's commitment to excellence and contribute to the Bank's reputation."
,What is considered business professional attire?,"Business professional attire includes: For men - business suits, dress shirts with ties, dress pants, blazers, dress shoes; For women - business suits, dresses, skirts, blouses, dress pants, blazers, dress shoes."
,When is business casual attire permitted?,Business casual attire may be permitted for non-customer-facing positions or on designated casual days.
,What items are not permitted under the dress code?,"Items not permitted under the dress code include: jeans of any color (except on authorized casual days), t-shirts, sweatshirts, or athletic wear, shorts, leggings, or yoga pants, revealing clothing (low-cut, sheer, bare midriff, mini-skirts), flip-flops, sneakers, or casual sandals, and hats or caps inside the building (unless required for religious purposes)."
,What is considered excessive absenteeism?,Excessive absenteeism is defined as more than three unscheduled absences in a three-month period.
,What is considered excessive tardiness?,Excessive tardiness is defined as more than three late arrivals in a three-month period.
,What is the procedure for notifying about an absence or tardiness?,"Employees must notify their supervisor as soon as possible if they will be late or absent. Notification should occur at least 30 minutes before the scheduled start time. For planned absences, employees should request time off as far in advance as possible."
,When might a physician's statement be required for absences?,"If an employee is absent for three or more consecutive days due to illness, a physician's statement may be required."
,What are the key customer service standards at First National Bank?,"Key customer service standards include: greeting customers promptly and professionally, responding to inquiries in a timely manner, communicating clearly and effectively, maintaining a positive attitude, taking ownership of customer issues, protecting customer privacy and confidentiality, going above and beyond to exceed expectations, and continuously improving."
,What is considered a conflict of interest at First National Bank?,"A conflict of interest exists when an employee's personal interests interfere, or appear to interfere, with the employee's ability to act in the best interest of First National Bank and its customers."
,Give examples of potential conflicts of interest.,"Examples of potential conflicts of interest include: having a significant financial interest in a company that does business with or competes with the Bank, accepting substantial gifts from customers or suppliers, using Bank property for personal gain, competing with the Bank for business opportunities, making decisions influenced by personal relationships, processing transactions for family members or personal accounts, and outside employment that conflicts with Bank duties."
,What should employees do if they have a potential conflict of interest?,Employees must disclose any actual or potential conflicts of interest to their supervisor and the Compliance Department. Disclosed conflicts will be reviewed and appropriate actions determined.
,What is the Bank's policy on receiving gifts?,"Employees may not accept gifts, gratuities, or favors from customers, suppliers, or others doing business with the Bank except under specific conditions, such as when the gift is of nominal value (generally under $50), is advertising material with a company logo, is a normal business courtesy like a business meal, is given during holidays or special occasions and represents a reasonable value, or when declining would create unnecessary offense."
,What types of gifts are prohibited?,"Prohibited gifts include: cash or cash equivalents (gift cards, securities, etc.) of any amount, gifts intended to influence a business decision, lavish or extravagant gifts or entertainment regardless of value, and gifts prohibited by law or regulation."
,What are the guidelines for giving gifts to customers or business contacts?,"When giving gifts to customers or business contacts, employees should ensure the gift complies with the recipient's organization's policies, is of reasonable value and appropriate to the business relationship, does not create an appearance of impropriety, and is properly documented and approved by management."
,What gifts must be reported?,Gifts valued at more than $50 must be reported to the employee's supervisor and the Compliance Department.
,What is First National Bank's policy on outside employment?,"First National Bank recognizes that employees may engage in outside employment or business activities, provided there is no conflict with their job responsibilities. Outside employment that conflicts with the Bank's interests is prohibited. Employees may not receive any income or material gain from individuals outside the Bank for materials produced or services rendered while performing their jobs at the Bank."
,What are the guidelines for outside employment?,"Guidelines for outside employment include: outside work must not interfere with job performance, must not conflict with work schedule, employees may not use Bank resources for outside employment, outside employment must not compete with or create a conflict of interest, employees must not perform outside work on Bank time, and outside employment must not involve working for a competitor, supplier, or customer."
,Do employees need to disclose outside employment?,"Yes, employees must disclose any outside employment to their supervisor and the Human Resources Department."
,Who can create and manage social media accounts on behalf of First National Bank?,Only authorized employees may create and manage social media accounts on behalf of First National Bank.
,What are the requirements for content posted on official Bank social media channels?,"Content posted on official Bank social media channels must be accurate and compliant with applicable regulations, protect customer confidentiality and proprietary information, maintain a professional tone and appearance, be approved through proper channels before posting, and adhere to Bank branding guidelines."
,What guidelines should employees follow when using personal social media accounts?,"When using personal social media accounts, employees should make it clear that views expressed are their own and not those of the Bank, never disclose confidential information, respect copyright and disclosure laws, be respectful in all communications, and not use social media during working hours or on Bank equipment unless work-related."
,What disclaimer should employees use if they identify as Bank employees on social media?,"If employees identify themselves as Bank employees on social media, they should use a disclaimer such as: 'The views expressed on this site are my own and do not reflect the views of First National Bank.'"
,What types of content are expressly prohibited on social media?,"Types of content expressly prohibited on social media include: disclosure of confidential customer information, statements that damage the Bank's reputation, harassing or discriminatory comments, false or misleading statements about competitors, and information that violates securities laws or regulations."
,What security measures should employees take to protect privacy and confidentiality?,"Security measures employees should take include: locking computers when away from desks, securing physical documents containing sensitive information, using secure shredding bins for disposal of confidential documents, never sharing passwords or access credentials, and reporting any suspected privacy breaches immediately."
,What privacy laws must employees comply with?,"Employees must comply with relevant privacy laws and regulations, including Gramm-Leach-Bliley Act (GLBA), Fair Credit Reporting Act (FCRA), Bank Secrecy Act (BSA), and state privacy laws."
,What is First National Bank's stance on anti-harassment and discrimination?,First National Bank is committed to providing a work environment that is free from all forms of harassment and discrimination. The Bank prohibits harassment or discrimination based on any protected characteristic and will not tolerate harassment or discrimination in any form.
,To whom does the anti-harassment policy apply?,"The anti-harassment policy applies to all employees, customers, vendors, contractors, and visitors in the workplace or in any work-related setting outside the workplace, such as during business trips, business meetings, and business-related social events."
,What is considered sexual harassment?,"Sexual harassment includes unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature when submission to such conduct is made a condition of employment, used as a basis for employment decisions, or creates an intimidating, hostile, or offensive working environment."
,Give examples of sexual harassment.,"Examples of sexual harassment include: unwelcome touching or physical contact, suggestive or lewd remarks, jokes, or gestures, unwanted sexual advances or propositions, graphic verbal commentaries about an individual's body, display of sexually suggestive objects or pictures, sexual or gender-based jokes or teasing, unwelcome questions about sexual experiences, and sending or displaying sexually explicit communications."
,What are other forms of harassment?,"Other forms of harassment include verbal or physical conduct that denigrates or shows hostility toward an individual because of their protected characteristic and creates an intimidating or hostile work environment, interferes with work performance, or adversely affects employment opportunities."
,Give examples of non-sexual harassment.,"Examples of non-sexual harassment include: jokes, slurs, epithets, or name-calling, threats, intimidation, or hostile acts, negative stereotyping, written or graphic material that denigrates or shows hostility or aversion, and circulation of offensive material."
,What are the avenues for reporting harassment or discrimination?,"Avenues for reporting harassment or discrimination include: reporting to immediate supervisor or next level of management, reporting directly to any HR representative, making an anonymous report through the Bank's Ethics Hotline at 1-800-XXX-XXXX or online, and reporting to any member of the executive team."
,What information should be included in a harassment report?,"A harassment report should include: date(s), time(s), and location(s) of the incident(s), description of the incident(s), name(s) of the individual(s) involved, name(s) of any witness(es), and any supporting documentation or evidence."
,How are harassment or discrimination reports handled?,"All reports of harassment or discrimination are promptly investigated. The Bank takes all reports seriously and handles them as confidentially as possible, sharing information only on a need-to-know basis to conduct a thorough investigation."
,What is the process for investigating harassment claims?,"The investigation process includes: initial assessment, development of an investigation plan, information gathering (collecting documents and conducting interviews), analysis of the information, conclusion and appropriate action, and follow-up with the person who made the report."
,What is First National Bank's policy on retaliation?,"First National Bank strictly prohibits retaliation against any individual who reports harassment or discrimination, participates in an investigation, or opposes discriminatory practices. Retaliation includes any adverse employment action or behavior that would likely discourage a reasonable person from engaging in protected activity."
,What are examples of retaliation?,"Examples of retaliation include: termination, demotion, or unfavorable reassignment, denial of promotion or benefits, reduction in pay or hours, and increased scrutiny or performance monitoring."
,What are the consequences for violating the anti-harassment policy?,"Violations of the anti-harassment policy will result in disciplinary action, up to and including termination of employment."
,What is the Ethics Hotline phone number?,The Ethics Hotline phone number is 1-800-XXX-XXXX.
,What are the company's pay periods?,The handbook doesn't specify the exact pay periods for First National Bank.
,What benefits are part of the compensation package?,"Benefits mentioned in the handbook include: health insurance, dental and vision insurance, life insurance, disability insurance, retirement plans and 401(k), employee stock purchase plan, educational assistance, and employee assistance program."
,What types of leave are available to employees?,"Types of leave available include: holidays, vacation time, sick leave, personal days, bereavement leave, jury duty, military leave, Family and Medical Leave Act (FMLA), parental leave, unpaid leave of absence, and voting time."
,What are the standard work hours?,The handbook doesn't specify the exact standard work hours for First National Bank.
,Does First National Bank offer flexible work arrangements?,"Yes, First National Bank offers flexible work arrangements, though specific details aren't provided in the excerpt."
,Does First National Bank have a remote work policy?,"Yes, First National Bank has a remote work policy, though specific details aren't provided in the excerpt."
,What is included in the performance management process?,"The performance management process includes: performance evaluation process, goal setting, performance improvement plans, career development, promotions and transfers, training and development, and mentoring program."
,What workplace health and safety policies does First National Bank have?,"Workplace health and safety policies include: general safety rules, emergency procedures, workplace violence prevention, substance abuse policy, drug testing, smoke-free workplace, ergonomics, workers' compensation, and communicable disease policy."
,What IT policies are in place?,"IT policies include: acceptable use of technology, email and internet policy, software and hardware policy, data security and privacy, mobile device policy, cybersecurity protocols, information classification, and personal device usage."
,What employee relations programs are offered?,"Employee relations programs include: open door policy, complaint resolution procedure, employee recognition programs, employee referral program, community involvement, wellness program, and employee events and activities."
,What termination procedures are in place?,"Termination procedures include: voluntary resignation, retirement, job abandonment, termination procedures, exit interviews, return of company property, final pay, benefits continuation (COBRA), and references and employment verification."
,What is contained in the appendices of the handbook?,"The appendices contain key contact information, forms and procedures, and acknowledgment of receipt."
,How should employees handle customer privacy?,"Employees should treat all customer information as confidential, limit access to what is necessary to perform job duties, never discuss customer information in public areas or with unauthorized individuals, follow proper authentication procedures before disclosing information, and only share information with third parties when legally permitted and with proper authorization."
,What penalties may result from violations of privacy and confidentiality policies?,"Violations of privacy and confidentiality policies may result in disciplinary action, up to and including termination of employment, and may also subject the employee to civil or criminal penalties."
,What specific services does First National Bank provide?,"First National Bank provides a comprehensive range of banking services including personal and business banking, mortgage lending, investment services, and wealth management."
,Is the Employee Handbook considered a contract?,"No, the policies described in the handbook are not conditions of employment, and the language is not intended to create a contract between First National Bank and its employees."
,Can First National Bank modify its policies?,"Yes, First National Bank reserves the right to modify, revoke, suspend, terminate, or change any or all policies or procedures, in whole or in part, with or without notice, at any time."
,Where can employees find the most current version of the handbook?,The most current version of the handbook is available in the HR section of the company intranet.
,What is First National Bank's approach to risk management?,"First National Bank has a conservative approach to risk management and focuses on building long-term relationships with customers, which has enabled them to grow steadily and sustainably."
,How many hours per week must part-time employees work to be eligible for some benefits?,Part-time employees who work at least 20 hours per week are eligible for some benefits.
,"What are the consequences of a no-call, no-show absence?","Failure to notify a supervisor of an absence (no-call, no-show) is considered a serious offense and may result in immediate disciplinary action."
,How might good attendance records benefit employees?,Employees with satisfactory attendance records may be given preference when promotional opportunities arise.
,When was First National Bank founded?,First National Bank was founded in 1935.
,Who is the CEO of First National Bank?,Jonathan Reynolds is the Chief Executive Officer of First National Bank.
,How many branches does First National Bank have?,First National Bank has over 85 branches.
,How many employees work at First National Bank?,"First National Bank has more than 2,500 employees."
,What is the mission of First National Bank?,"The mission of First National Bank is to deliver exceptional financial services that help our customers, communities, and employees prosper and grow."
,What is the vision of First National Bank?,"The vision of First National Bank is to be the most trusted financial partner in the communities we serve, known for our customer focus, innovative solutions, and commitment to excellence."
,What are the core values of First National Bank?,"The core values of First National Bank are: Integrity, Excellence, Customer Focus, Teamwork, Community Commitment, Accountability, and Respect."
,What services does First National Bank provide?,"First National Bank provides a comprehensive range of banking services including personal and business banking, mortgage lending, investment services, and wealth management."
,What is the dress code for customer-facing positions?,"For customer-facing positions, Business Professional Attire is required. For men, this includes business suits, dress shirts with ties, dress pants, blazers, and dress shoes. For women, this includes business suits, dresses, skirts, blouses, dress pants, blazers, and dress shoes."
,When was the Employee Handbook last updated?,The Employee Handbook was last updated in March 2025.
,What is First National Bank's policy on equal employment opportunity?,"First National Bank is committed to providing equal employment opportunities to all individuals without regard to race, color, religion, sex, national origin, age, disability, marital status, veteran status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. This policy applies to all terms and conditions of employment."
,What is the policy on employment at will?,"Employment with First National Bank is voluntary and is subject to termination by the employee or the Bank at will, with or without cause, and with or without notice, at any time. This policy of employment-at-will may not be modified except through a written employment agreement approved by the CEO or Board of Directors of the Bank."
,What is the probationary period for new employees?,"The first 90 days of employment at First National Bank are considered a probationary period. During this time, employees evaluate the Bank as a place to work, and management evaluates the employee's job performance."
,What is the Bank's policy on employment of relatives?,"While First National Bank does not prohibit the employment of relatives, relatives of persons currently employed may be hired only if they will not be working directly for or supervising a relative or will not occupy a position in the same line of authority within the organization."
,What happens if I'm late to work?,"Employees must notify their supervisor as soon as possible if they will be late, at least 30 minutes before the scheduled start time. Excessive tardiness (defined as more than three late arrivals in a three-month period) may result in disciplinary action."
,What constitutes excessive absenteeism?,Excessive absenteeism is defined as more than three unscheduled absences in a three-month period. Patterns of absenteeism or tardiness may result in disciplinary action.
,What happens if I don't show up for work and don't call?,"Failure to notify a supervisor of an absence (no-call, no-show) is considered a serious offense and may result in immediate disciplinary action."
,What are the customer service standards at First National Bank?,"The customer service standards include: greeting customers promptly and professionally, responding to inquiries in a timely manner, communicating clearly, maintaining a positive attitude, taking ownership of customer issues, protecting customer privacy, going above and beyond, and continuously improving."
,What is considered a conflict of interest?,"A conflict of interest exists when an employee's personal interests interfere, or appear to interfere, with the employee's ability to act in the best interest of First National Bank and its customers. Examples include having a significant financial interest in a company that does business with the Bank, accepting substantial gifts, using Bank property for personal gain, competing with the Bank, making decisions influenced by personal relationships, processing transactions for family members, or having conflicting outside employment."
,Can I accept gifts from customers?,"Employees may accept gifts from customers only if: the gift is of nominal value (generally under $50), the gift is advertising material bearing a company logo, the gift is a normal business courtesy such as a business meal, the gift is given during holidays or special occasions and represents a reasonable value, or declining would create unnecessary offense. Cash or cash equivalents of any amount are prohibited."
,Can I have a second job outside of the Bank?,"First National Bank allows outside employment provided there is no conflict with job responsibilities. Outside employment must not interfere with job performance, conflict with work schedules, use Bank resources, compete with Bank business, be performed during Bank time, or involve working for a competitor, supplier, or customer. Employees must disclose any outside employment to their supervisor and HR."
,What is the Bank's social media policy?,"Only authorized employees may create and manage social media accounts on behalf of the Bank. For personal use, employees should make it clear that views expressed are their own, never disclose confidential information, respect copyright laws, be respectful in communications, and not use social media during working hours unless work-related. If identifying as a Bank employee, use a disclaimer stating views are personal."
,What is considered sexual harassment?,"Sexual harassment includes unwelcome sexual advances, requests for sexual favors, and other verbal or physical conduct of a sexual nature when submission is made a condition of employment, used for employment decisions, or creates a hostile working environment. Examples include unwelcome touching, lewd remarks, unwanted advances, graphic commentaries about one's body, display of suggestive materials, sexual jokes, and unwelcome questions about sexual experiences."
,How do I report harassment or discrimination?,"Employees can report harassment or discrimination to their immediate supervisor, directly to any HR representative, anonymously through the Bank's Ethics Hotline at 1-800-XXX-XXXX or online, or to any member of the executive team. Reports should include dates, times, locations, description of incidents, individuals involved, witnesses, and any supporting documentation."
,What happens after I report harassment?,"All reports will be promptly investigated through a process that includes initial assessment, development of an investigation plan, information gathering, analysis of evidence, conclusion with appropriate action, and follow-up with the person who made the report. Throughout the investigation, all parties are expected to maintain confidentiality."
,Does the Bank protect employees who report harassment from retaliation?,"Yes, First National Bank strictly prohibits retaliation against any individual who reports harassment or discrimination, participates in an investigation, or opposes discriminatory practices. Retaliation includes any adverse employment action that would likely discourage a reasonable person from engaging in protected activity."
,What are the classifications of employees at First National Bank?,"First National Bank classifies employees as: Full-time Regular Employees (regularly scheduled to work at least 35 hours per week), Part-time Regular Employees (regularly scheduled to work less than 35 hours per week), Temporary Employees (hired for assignments of limited duration), Non-exempt Employees (entitled to overtime pay), and Exempt Employees (not entitled to overtime pay)."
,What is the policy on background checks?,"All offers of employment are contingent upon satisfactory completion of a background investigation. These may include verification of previous employment and education, credit history, criminal background, and other checks as deemed appropriate based on the position. For certain positions, additional security clearances or enhanced background checks may be required. Periodic background checks may also be conducted during employment."
,What information is kept in personnel files?,"Personnel files include information such as the employee's job application, resume, records of training, documentation of performance appraisals, salary increases, and other employment records."
,Can I review my personnel file?,"Yes, employees who wish to review their own file should contact Human Resources. With reasonable advance notice, employees may review their own personnel files in the presence of an individual appointed by the Bank to maintain the files."
,What changes in personal information should I report to HR?,"Employees should promptly notify Human Resources of changes in: name, address and telephone number, emergency contact information, educational accomplishments, marital status, number of dependents, beneficiary designations for benefits, and banking information for direct deposit."
,What is the confidentiality policy at First National Bank?,"The protection of confidential business information and trade secrets is vital to the interests and success of First National Bank. Confidential information includes customer information, financial information, marketing strategies, pending projects and proposals, proprietary processes, research and development strategies, and technological data and systems. All employees must sign a confidentiality and non-disclosure agreement."
,What happens if I violate the confidentiality policy?,"Employees who improperly use or disclose trade secrets or confidential business information will be subject to disciplinary action, up to and including termination of employment and legal action, even if they do not actually benefit from the disclosed information."
,What is the Code of Ethics at First National Bank?,"The Code of Ethics establishes fundamental principles for all employees, who are expected to: comply with all laws and regulations, act with integrity and honesty, avoid conflicts of interest, maintain confidentiality, report suspected violations, treat all individuals with respect, conduct business positively, protect Bank assets, and promote ethical decision-making."
,What professional conduct is expected of employees?,"Employees are expected to treat others with respect, communicate professionally, maintain a positive attitude, work cooperatively, demonstrate reliability, take responsibility, display willingness to learn, resolve conflicts constructively, refrain from gossip, and use appropriate language. Failure to maintain professional conduct may result in disciplinary action."
,What is not permitted in the Bank's dress code?,"The dress code prohibits: jeans of any color (except on authorized casual days), t-shirts, sweatshirts, athletic wear, shorts, leggings, yoga pants, revealing clothing (low-cut, sheer, bare midriff, mini-skirts), flip-flops, sneakers, casual sandals, and hats or caps inside the building (unless required for religious purposes)."
,What is Business Casual Attire at the Bank?,"Business Casual Attire, which may be permitted for non-customer-facing positions or on designated casual days, includes: For men: Dress slacks or khakis, button-down shirts, polo shirts, sweaters, loafers or dress shoes. For women: Casual dresses, skirts, slacks, blouses, sweaters, dress shoes or dress sandals."
,What security measures should employees take to protect confidential information?,"Security measures include: locking computers when away from desks, securing physical documents containing sensitive information, using secure shredding bins for disposal of confidential documents, never sharing passwords or access credentials, and reporting any suspected privacy breaches immediately."
,What privacy laws must employees comply with?,"Employees must comply with relevant privacy laws and regulations, including: Gramm-Leach-Bliley Act (GLBA), Fair Credit Reporting Act (FCRA), Bank Secrecy Act (BSA), and State privacy laws."
,What are examples of retaliation that are prohibited?,"Examples of prohibited retaliation include: termination, demotion, or unfavorable reassignment; denial of promotion or benefits; reduction in pay or hours; and increased scrutiny or performance monitoring."
,What should be included in a harassment report?,"A harassment report should include: date(s), time(s), and location(s) of the incident(s); description of the incident(s); name(s) of the individual(s) involved; name(s) of any witness(es); and any supporting documentation or evidence."
,What is the purpose of the Employee Handbook?,"The Employee Handbook is designed to: provide clear guidelines regarding First National Bank's policies, procedures, and practices; outline benefits available to eligible employees; communicate expectations for employee conduct and performance; ensure compliance with banking regulations and employment laws; and foster a positive and productive work environment."
,Is the Employee Handbook a contract of employment?,"No, the policies described in the handbook are not conditions of employment, and the language is not intended to create a contract between First National Bank and its employees. The Bank reserves the right to modify, revoke, suspend, terminate, or change any or all policies or procedures, in whole or in part, with or without notice, at any time."
,Where can I find the most current version of the Employee Handbook?,The most current version of the Employee Handbook is available in the HR section of the company intranet.
,What is the Immigration Law Compliance policy?,"First National Bank is committed to employing only United States citizens and aliens who are authorized to work in the United States and complies with the Immigration Reform and Control Act of 1986. As a condition of employment, each new employee must properly complete, sign, and date the first section of the U.S. Citizenship and Immigration Services Form I-9."
,Who is eligible for the full benefits package?,"Full-time Regular Employees, who are not in a temporary status and who are regularly scheduled to work a full-time schedule of at least 35 hours per week, are generally eligible for the full benefits package, subject to the terms, conditions, and limitations of each benefit program."
,Are part-time employees eligible for benefits?,"Part-time employees who work at least 20 hours per week are eligible for some benefits sponsored by First National Bank, subject to the terms, conditions, and limitations of each benefit program."
,Are temporary employees eligible for benefits?,"No, temporary employees are not eligible for any of the Bank's benefit programs."
,Does completing the probationary period guarantee continued employment?,"No, completion of the probationary period does not guarantee continued employment and does not change the at-will employment relationship. Either the employee or the Bank may end the employment relationship at any time during or after the probationary period, with or without cause or advance notice."
,What is the definition of a non-exempt employee?,Non-exempt employees are those who are entitled to overtime pay under the Fair Labor Standards Act (FLSA). These employees are required to submit a record of the time they work each week.
,What is the definition of an exempt employee?,"Exempt employees are those who are not entitled to overtime pay under the FLSA and who are employed in an executive, administrative, professional, outside sales, or certain computer-related capacity."
,What happens with my personnel file when I leave the Bank?,"The handbook does not specifically address what happens with personnel files after termination of employment, but it does state that personnel files are the property of First National Bank."
,What is the Ethics Hotline phone number?,The Ethics Hotline phone number is 1-800-XXX-XXXX.
,Is there an online option for reporting ethics concerns?,"Yes, reports can be made anonymously through the Bank's Ethics Hotline online at [ethicshotline.firstnationalbank.com]."
,What value is placed on gifts that must be reported?,Gifts valued at more than $50 must be reported to the employee's supervisor and the Compliance Department.
,What should I do if I receive a prohibited gift?,"If an employee receives a prohibited gift, it should be returned or donated to charity."
,Can I identify myself as a Bank employee on social media?,"Yes, but if employees identify themselves as Bank employees on personal social media accounts or discuss Bank-related matters, they should use a disclaimer such as: 'The views expressed on this site are my own and do not reflect the views of First National Bank,' ensure their profile and content are consistent with how they present themselves professionally, and remember that even with a disclaimer, they may be viewed as a spokesperson for the Bank."
,What types of content are prohibited on social media?,"The following types of content are expressly prohibited on social media: disclosure of confidential customer information, statements that damage the Bank's reputation, harassing or discriminatory comments, false or misleading statements about competitors, and information that violates securities laws or regulations."
,What happens to confidential documents when I leave the Bank?,"Upon termination of employment, employees must return all documents, papers, and other materials that may contain confidential information."
,Can I use social media during work hours?,Employees should not use social media during working hours or on Bank equipment unless it is work-related.
,Who can create and manage social media accounts for the Bank?,Only authorized employees may create and manage social media accounts on behalf of First National Bank.
,What should official Bank social media content include?,"All content posted on official Bank social media channels must: be accurate and compliant with applicable regulations, protect customer confidentiality and proprietary information, maintain a professional tone and appearance, be approved through proper channels before posting, and adhere to Bank branding guidelines."
,What happens if I violate the social media policy?,"Violations of the social media policy may result in disciplinary action, up to and including termination of employment."
,What should I do if I suspect a privacy breach?,Employees should report any suspected privacy breaches immediately.
,What are the consequences of violating privacy policies?,"Violations of privacy and confidentiality policies may result in disciplinary action, up to and including termination of employment, and may also subject the employee to civil or criminal penalties."
,How should customer information be protected?,"Customer information should be treated as confidential, access should be limited to what is necessary to perform job duties, it should never be discussed in public areas or with unauthorized individuals, proper authentication procedures must be followed before disclosure, and information should only be shared with third parties when legally permitted and with proper authorization."
,What Bank information is considered confidential?,"Proprietary information about the Bank's business operations, strategies, systems, and procedures is confidential. Financial data, marketing plans, and other sensitive business information should not be discussed outside the Bank."
,Is my personnel file confidential?,"Personnel files are the property of First National Bank, and access to the information they contain is restricted. Generally, only supervisors and management personnel of the Bank who have a legitimate reason to review information in a file are allowed to do so."
,What is the bank's mission statement?,"To deliver exceptional financial services that help our customers, communities, and employees prosper and grow."
,What is the bank's vision statement?,"To be the most trusted financial partner in the communities we serve, known for our customer focus, innovative solutions, and commitment to excellence."
,What is the core value related to honesty at First National Bank?,"Integrity is the core value related to honesty. It is defined as: We conduct business ethically and honestly, always doing what is right for our customers, employees, and communities."
,What is the core value related to customer service at First National Bank?,Customer Focus is the core value related to customer service. It is defined as: We build lasting relationships by understanding our customers' needs and delivering solutions that exceed their expectations.
,What is the core value related to working with others at First National Bank?,"Teamwork is the core value related to working with others. It is defined as: We collaborate effectively, respect diverse perspectives, and support each other to achieve common goals."
,What is the core value related to community at First National Bank?,Community Commitment is the core value related to community. It is defined as: We actively contribute to the economic and social well-being of the communities we serve.
,What is the core value related to responsibility at First National Bank?,"Accountability is the core value related to responsibility. It is defined as: We take ownership of our actions and decisions, learning from both successes and failures."
,What is the core value related to treating others well at First National Bank?,"Respect is the core value related to treating others well. It is defined as: We treat everyone with dignity and respect, valuing the diversity of ideas, backgrounds, and experiences."
,What is the core value related to quality at First National Bank?,"Excellence is the core value related to quality. It is defined as: We strive for exceptional performance in everything we do, constantly seeking to improve and innovate."
,Does the handbook create a contract of employment?,"No, the policies described in the handbook are not conditions of employment, and the language is not intended to create a contract between First National Bank and its employees."
,Can the Bank change the policies in the handbook?,"Yes, First National Bank reserves the right to modify, revoke, suspend, terminate, or change any or all policies or procedures, in whole or in part, with or without notice, at any time."
,What if I report to a supervisor who is harassing me?,"If the supervisor is the subject of the complaint, employees should report to the next level of management. Alternatively, employees can report directly to any HR representative, through the Ethics Hotline anonymously, or to any member of the executive team."
,Will people know if I report harassment through the Ethics Hotline?,"Reports can be made anonymously through the Bank's Ethics Hotline. The Bank takes all reports seriously and will handle them as confidentially as possible, sharing information only on a need-to-know basis to conduct a thorough investigation."
,"If I witness harassment of a coworker, should I report it?","Yes, any employee who believes they have been subjected to harassment or discrimination, or who has witnessed such conduct, should report the incident promptly."
,What should I wear on a casual day?,"On designated casual days, Business Casual Attire may be permitted. For men, this includes dress slacks or khakis, button-down shirts, polo shirts, sweaters, loafers or dress shoes. For women, this includes casual dresses, skirts, slacks, blouses, sweaters, dress shoes or dress sandals. Jeans may be permitted on authorized casual days, but the handbook doesn't specify this explicitly."
,Are visible tattoos allowed at the Bank?,Visible tattoos should be minimal and non-offensive according to the dress code guidelines.
,Can I have unnatural hair color as an employee?,"No, exotic hairstyles and unnaturally colored hair are generally not permitted according to the dress code guidelines."
,Can I wear facial piercings at work?,Facial jewelry other than earrings should be minimal according to the dress code guidelines.
,What is the standard full-time work schedule?,Full-time Regular Employees are those who are regularly scheduled to work a full-time schedule of at least 35 hours per week.
,What if my relative already works at the Bank and I apply for a job?,Relatives of persons currently employed by the Bank may be hired only if they will not be working directly for or supervising a relative or will not occupy a position in the same line of authority within the organization.
,What happens if two employees form a relationship after being hired?,"If a relationship is established after employment that creates a situation where a conflict or the potential for conflict arises, the employees may be separated by reassignment or terminated from employment. In cases where a conflict or the potential for conflict arises because of the relationship between employees, even if there is no line of authority or reporting involved, the employees may be separated by reassignment or terminated from employment."
,Who is considered a 'relative' under the employment of relatives policy?,"For the purposes of this policy, a relative is any person who is related by blood or marriage, or whose relationship with the employee is similar to that of persons who are related by blood or marriage."
,How should I greet customers at the Bank?,Employees should acknowledge customers immediately upon entering the branch or office. Address customers by name when possible and make eye contact.
,How quickly should I respond to customer inquiries?,Employees should aim to resolve customer issues during the first interaction or provide a clear timeline for resolution.
,How should employees communicate with customers?,Employees should explain financial concepts in terms that customers can understand. Listen actively to customer concerns and ask clarifying questions when necessary.
,How should employees handle difficult customer situations?,"Employees should remain professional, courteous, and patient, even when dealing with difficult situations. Focus on finding solutions rather than dwelling on problems."
,What is expected when handling customer issues?,"Employees should take ownership of customer issues, follow through on commitments made to customers, keep them informed of progress, and if unable to resolve an issue personally, ensure a smooth handoff to the appropriate person."
,How should customer information be handled?,"Employees should never discuss customer information in public areas or with unauthorized individuals, and should secure all customer documents and information."
,Is exceptional customer service expected from all employees?,"Yes, all employees are expected to embody the customer service standards regardless of their role or direct customer contact. Every interaction affects the customer's perception of First National Bank."
,What should I do if I have a conflict of interest?,"Employees must disclose any actual or potential conflicts of interest to their supervisor and the Compliance Department. Disclosed conflicts will be reviewed and appropriate actions determined. Employees may be asked to recuse themselves from certain decisions or activities, or in some cases, may need to eliminate the conflict."
